ID,Name,Gender,Birthday,Age,Alive,Death,Child,Spouse
@I6000000150512113035@,Joe /Smith/,M,4 APR 1951,69,True,,@F6000000150515745826@,@F6000000150521431836@
@I6000000150514811822@,Bob /Smith/,M,5 JAN 1889,131,True,,@F6000000150515745826@,@F6000000150517412841@
@I6000000150515745822@,Terrace /Smith/,M,4 MAY 1900,80,False,8 JUL 1980,,@F6000000150515745826@
@I6000000150516107833@,Carrie /Williams/,F,3 APR 1904,84,False,19 AUG 1988,,@F6000000150515745826@
@I6000000150517412837@,Tiffany /Jacobs/,F,9 JUL 1949,71,True,,,@F6000000150517412841@
@I6000000150517748837@,Chris /Smith/,M,5 MAY 2000,20,True,,@F6000000150517412841@,
@I6000000150517979828@,Julia /Smith/,F,8 MAY 2001,19,True,,@F6000000150517412841@,
@I6000000150521431830@,Jennifer /Tuckers/,F,18 APR 1952,47,False,28 APR 1999,,@F6000000150521431836@
@I6000000150521797821@,Jessica /Cho/,F,8 JUL 1952,68,True,,,@F6000000150521797825@
@I6000000150522001821@,Bret /Smith/,M,4 JAN 1991,29,True,,@F6000000150521431836@,
@I6000000150522180821@,Jill /Smith/,F,9 JAN 2002,18,True,,@F6000000150521797825@,
